	X:TIME(s)	Y:Acc1_Relative-RevJoint1(rad/s^2)	Y:Acc1_Relative-RevJoint2(rad/s^2)	Y:Acc1_Relative-RevJoint3(rad/s^2)	Y:Acc1_Relative-RevJoint4(rad/s^2)	Y:Acc1_Relative-RevJoint5(rad/s^2)	Y:Driving_Torque-RevJoint6(N*m)
  6.2900000e-002 -3.6994848e+001 -7.5650090e+001  1.4494155e+002 -3.7622929e+001  4.5095089e+000  8.5722401e-004
  6.4500000e-002 -3.2868175e+001 -8.4831584e+001  1.5013739e+002 -3.7491554e+001  4.1479267e+000  8.7792323e-004
  6.6100000e-002 -2.8806354e+001 -9.3698701e+001  1.5485516e+002 -3.7053830e+001  3.6985736e+000  8.9752594e-004
  6.7700000e-002 -2.4801637e+001 -1.0225819e+002  1.5908729e+002 -3.6301204e+001  3.1590527e+000  9.1617330e-004
  6.9400000e-002 -2.0599906e+001 -1.1102416e+002  1.6304310e+002 -3.5146218e+001  2.4842470e+000  9.3509609e-004
  7.1000000e-002 -1.6686696e+001 -1.1897307e+002  1.6624782e+002 -3.3714060e+001  1.7508097e+000  9.5221145e-004
  7.2600000e-002 -1.2805488e+001 -1.2663591e+002  1.6893875e+002 -3.1935653e+001  9.1922908e-001  9.6878630e-004
  7.4200000e-002 -8.9491578e+000 -1.3401660e+002  1.7110249e+002 -2.9798306e+001 -1.3360830e-002  9.8494323e-004
  7.5800000e-002 -5.1117366e+000 -1.4111618e+002  1.7272270e+002 -2.7287983e+001 -1.0499049e+000  1.0007969e-003
  7.7400000e-002 -1.2887238e+000 -1.4793226e+002  1.7377986e+002 -2.4389381e+001 -2.1933493e+000  1.0164540e-003
  7.9000000e-002  2.5226369e+000 -1.5445859e+002  1.7425119e+002 -2.1086098e+001 -3.4465328e+000  1.0320139e-003
  8.0600000e-002  6.3231148e+000 -1.6068472e+002  1.7411071e+002 -1.7360920e+001 -4.8120453e+000  1.0475696e-003
  8.2300000e-002  1.0347559e+001 -1.6695431e+002  1.7325867e+002 -1.2920913e+001 -6.3883979e+000  1.0641917e-003
  8.3900000e-002  1.4118420e+001 -1.7250922e+002  1.7176213e+002 -8.2699431e+000 -7.9917404e+000  1.0800150e-003
  8.5500000e-002  1.7866369e+001 -1.7770417e+002  1.6955780e+002 -3.1439306e+000 -9.7118342e+000  1.0960990e-003
  8.7100000e-002  2.1582318e+001 -1.8251073e+002  1.6661094e+002  2.4725635e+000 -1.1548196e+001  1.1125323e-003
  8.8700000e-002  2.5254527e+001 -1.8689649e+002  1.6288657e+002  8.5927771e+000 -1.3498956e+001  1.1294095e-003
  9.0300000e-002  2.8868625e+001 -1.9082550e+002  1.5835044e+002  1.5226884e+001 -1.5560581e+001  1.1468350e-003
  9.1900000e-002  3.2407701e+001 -1.9425890e+002  1.5297030e+002  2.2381081e+001 -1.7727601e+001  1.1649271e-003
  9.3500000e-002  3.5852472e+001 -1.9715567e+002  1.4671711e+002  3.0056656e+001 -1.9992351e+001  1.1838214e-003
  9.5200000e-002  3.9385236e+001 -1.9959814e+002  1.3908929e+002  3.8778042e+001 -2.2494399e+001  1.2049526e-003
  9.6800000e-002  4.2565923e+001 -2.0125419e+002  1.3096499e+002  4.7507152e+001 -2.4925926e+001  1.2260292e-003
  9.8400000e-002  4.5581620e+001 -2.0224448e+002  1.2191310e+002  5.6721832e+001 -2.7415893e+001  1.2484780e-003
  1.0000000e-001  4.8406921e+001 -2.0252955e+002  1.1193142e+002  6.6394924e+001 -2.9945893e+001  1.2725485e-003
  1.0160000e-001  5.1016200e+001 -2.0207328e+002  1.0102732e+002  7.6490859e+001 -3.2494760e+001  1.2985273e-003
  1.0320000e-001  5.3384243e+001 -2.0084406e+002  8.9218441e+001  8.6965525e+001 -3.5038689e+001  1.3267405e-003
  1.0480000e-001  5.5486915e+001 -1.9881586e+002  7.6533159e+001  9.7766407e+001 -3.7551450e+001  1.3575553e-003
  1.0650000e-001  5.7405231e+001 -1.9576377e+002  6.2138801e+001  1.0953198e+002 -4.0155354e+001  1.3936058e-003
  1.0810000e-001  5.8892526e+001 -1.9203420e+002  4.7781505e+001  1.2080646e+002 -4.2512295e+001  1.4311287e-003
  1.0970000e-001  6.0054013e+001 -1.8746935e+002  3.2700364e+001  1.3219984e+002 -4.4746095e+001  1.4726431e-003
  1.1130000e-001  6.0876287e+001 -1.8207314e+002  1.6964342e+001  1.4363240e+002 -4.6824311e+001  1.5186885e-003
  1.1290000e-001  6.1349765e+001 -1.7585736e+002  6.4987983e-001  1.5502046e+002 -4.8714034e+001  1.5698448e-003
  1.1450000e-001  6.1468929e+001 -1.6884135e+002 -1.6160632e+001  1.6627768e+002 -5.0382281e+001  1.6267307e-003
  1.1610000e-001  6.1232431e+001 -1.6105145e+002 -3.3380475e+001  1.7731631e+002 -5.1796319e+001  1.6900024e-003
  1.1770000e-001  6.0643065e+001 -1.5252024e+002 -5.0920238e+001  1.8804836e+002 -5.2923898e+001  1.7603514e-003
  1.1940000e-001  5.9637888e+001 -1.4268616e+002 -6.9805465e+001  1.9901762e+002 -5.3772705e+001  1.8436640e-003
  1.2100000e-001  5.8346370e+001 -1.3275104e+002 -8.7719251e+001  2.0884323e+002 -5.4210266e+001  1.9309378e-003
  1.2260000e-001  5.6734261e+001 -1.2220429e+002 -1.0567738e+002  2.1809997e+002 -5.4266389e+001  2.0276110e-003
  1.2420000e-001  5.4818756e+001 -1.1109512e+002 -1.2359292e+002  2.2670614e+002 -5.3910993e+001  2.1345015e-003
  1.2580000e-001  5.2619675e+001 -9.9474960e+001 -1.4138142e+002  2.3458216e+002 -5.3114073e+001  2.2524513e-003
  1.2740000e-001  5.0159059e+001 -8.7397014e+001 -1.5896093e+002  2.4165028e+002 -5.1845399e+001  2.3823220e-003
  1.2900000e-001  4.7460802e+001 -7.4916029e+001 -1.7625179e+002  2.4783421e+002 -5.0074190e+001  2.5249874e-003
  1.3060000e-001  4.4550299e+001 -6.2088277e+001 -1.9317605e+002  2.5305861e+002 -4.7768837e+001  2.6813241e-003
  1.3230000e-001  4.1255115e+001 -4.8143718e+001 -2.1067028e+002  2.5747443e+002 -4.4697586e+001  2.8633797e-003
  1.3390000e-001  3.7991979e+001 -3.4786175e+001 -2.2659532e+002  2.6048339e+002 -4.1186137e+001  3.0506178e-003
